ds,zone,trigger_type,disruption_occurred,disruption_hours,rain_mm
2023-01-01,Adyar,heavy_rain,0,0,0.0
2023-01-01,Adyar,extreme_rain,0,0,0.0
2023-01-01,Adyar,platform_outage,0,0,0.0
2023-01-01,Adyar,bandh,0,0,0.0
2023-01-01,Adyar,heatwave,0,0,0.0
2023-01-01,Velachery,heavy_rain,0,0,0.0
2023-01-01,Velachery,extreme_rain,0,0,0.0
2023-01-01,Velachery,platform_outage,0,0,0.0
2023-01-01,Velachery,bandh,0,0,0.0
2023-01-01,Velachery,heatwave,0,0,0.0
2023-01-01,Tambaram,heavy_rain,0,0,0.0
2023-01-01,Tambaram,extreme_rain,0,0,0.0
2023-01-01,Tambaram,platform_outage,0,0,0.0
2023-01-01,Tambaram,bandh,0,0,0.0
2023-01-01,Tambaram,heatwave,0,0,0.0
2023-01-01,Anna Nagar,heavy_rain,0,0,0.0
2023-01-01,Anna Nagar,extreme_rain,0,0,0.0
2023-01-01,Anna Nagar,platform_outage,0,0,0.0
2023-01-01,Anna Nagar,bandh,0,0,0.0
2023-01-01,Anna Nagar,heatwave,0,0,0.0
2023-01-01,T Nagar,heavy_rain,0,0,0.0
2023-01-01,T Nagar,extreme_rain,0,0,0.0
2023-01-01,T Nagar,platform_outage,0,0,0.0
2023-01-01,T Nagar,bandh,0,0,0.0
2023-01-01,T Nagar,heatwave,0,0,0.0
2023-01-01,Perungudi,heavy_rain,0,0,0.0
2023-01-01,Perungudi,extreme_rain,0,0,0.0
2023-01-01,Perungudi,platform_outage,0,0,0.0
2023-01-01,Perungudi,bandh,0,0,0.0
2023-01-01,Perungudi,heatwave,0,0,0.0
2023-01-02,Adyar,heavy_rain,0,0,0.0
2023-01-02,Adyar,extreme_rain,0,0,0.0
2023-01-02,Adyar,platform_outage,0,0,0.0
2023-01-02,Adyar,bandh,0,0,0.0
2023-01-02,Adyar,heatwave,0,0,0.0
2023-01-02,Velachery,heavy_rain,0,0,0.0
2023-01-02,Velachery,extreme_rain,0,0,0.0
2023-01-02,Velachery,platform_outage,0,0,0.0
2023-01-02,Velachery,bandh,0,0,0.0
2023-01-02,Velachery,heatwave,0,0,0.0
2023-01-02,Tambaram,heavy_rain,0,0,0.0
2023-01-02,Tambaram,extreme_rain,0,0,0.0
2023-01-02,Tambaram,platform_outage,0,0,0.0
2023-01-02,Tambaram,bandh,0,0,0.0
2023-01-02,Tambaram,heatwave,0,0,0.0
2023-01-02,Anna Nagar,heavy_rain,0,0,0.0
2023-01-02,Anna Nagar,extreme_rain,0,0,0.0
2023-01-02,Anna Nagar,platform_outage,0,0,0.0
2023-01-02,Anna Nagar,bandh,0,0,0.0
2023-01-02,Anna Nagar,heatwave,0,0,0.0
2023-01-02,T Nagar,heavy_rain,0,0,0.0
2023-01-02,T Nagar,extreme_rain,0,0,0.0
2023-01-02,T Nagar,platform_outage,0,0,0.0
2023-01-02,T Nagar,bandh,0,0,0.0
2023-01-02,T Nagar,heatwave,0,0,0.0
2023-01-02,Perungudi,heavy_rain,0,0,0.0
2023-01-02,Perungudi,extreme_rain,0,0,0.0
2023-01-02,Perungudi,platform_outage,0,0,0.0
2023-01-02,Perungudi,bandh,0,0,0.0
2023-01-02,Perungudi,heatwave,0,0,0.0
2023-01-03,Adyar,heavy_rain,1,11,40.990257265289515
2023-01-03,Adyar,extreme_rain,0,0,0.0
2023-01-03,Adyar,platform_outage,0,0,0.0
2023-01-03,Adyar,bandh,0,0,0.0
2023-01-03,Adyar,heatwave,0,0,0.0
2023-01-03,Velachery,heavy_rain,1,2,40.990986410335566
2023-01-03,Velachery,extreme_rain,0,0,0.0
2023-01-03,Velachery,platform_outage,0,0,0.0
2023-01-03,Velachery,bandh,0,0,0.0
2023-01-03,Velachery,heatwave,0,0,0.0
2023-01-03,Tambaram,heavy_rain,1,4,35.29847965068651
2023-01-03,Tambaram,extreme_rain,0,0,0.0
2023-01-03,Tambaram,platform_outage,0,0,0.0
2023-01-03,Tambaram,bandh,0,0,0.0
2023-01-03,Tambaram,heatwave,0,0,0.0
2023-01-03,Anna Nagar,heavy_rain,0,0,0.0
2023-01-03,Anna Nagar,extreme_rain,0,0,0.0
2023-01-03,Anna Nagar,platform_outage,0,0,0.0
2023-01-03,Anna Nagar,bandh,0,0,0.0
2023-01-03,Anna Nagar,heatwave,0,0,0.0
2023-01-03,T Nagar,heavy_rain,1,6,44.30179407605753
2023-01-03,T Nagar,extreme_rain,0,0,0.0
2023-01-03,T Nagar,platform_outage,0,0,0.0
2023-01-03,T Nagar,bandh,0,0,0.0
2023-01-03,T Nagar,heatwave,0,0,0.0
2023-01-03,Perungudi,heavy_rain,1,8,20.530598446394663
